"(n,m) pairs",Size,Time
"(10,10)",4,0.0020676799999819195
"(10,15)",6,0.002305621000004976
"(10,20)",6,0.002368339999975433
"(10,25)",7,0.0027417000000014013
"(10,30)",6,0.0023166400000036447
"(10,35)",7,0.0031241389999649982
"(10,40)",8,0.002974640000047657
"(10,45)",9,0.0031535900000108086
